1,Ludwig van Beethoven,"Diabelli Variations, Op. 120: Var. 7, Un poco più allegro",79.587,34.35,0.193,Classical
2,Carl Orff,"Carmina Burana, I. Primo vere (Version for Soloists, Choruses, 2 Pianos & Perc.): Veris leta facies",244.28,34.47,0.16,Classical
3,Nat King Cole,Away In A Manger,120.4,34.76,0.253,Jazz
4,Johann Sebastian Bach,"French Suite No. 5 in G Major, BWV 816: I. Allemande",160.6,34.86,0.267,Classical
5,Boards of Canada,Jacquard Causeway,395.09,35.55,0.166,Electronic
6,Paul Simon,Still Crazy After All These Years,206.533,37.11,0.13,Rock
7,Flughand,Beems,77.423,37.83,0.77,Jazz
8,Gustavo Santaolalla,All Gone (Aftermath),64.44,38.14,0.0372,Classical
9,Wolfgang Amadeus Mozart,"Die Zauberflöte, K. 620, Act II: Seid uns zum zweiten Mal willkommen (Live)",102.6,40.17,0.554,Classical
10,Kiana Ledé,Controlla X Too Good,111.316,44.19,0.497,Alternative
11,Ludwig van Beethoven,"Piano Sonata No.14 in C sharp minor, Op.27 No.2 -""Moonlight"": 1. Adagio sostenuto",456.733,44.97,0.307,Classical
12,Flying Lotus,Heave(n),142.446,46.48,0.561,Electronic
13,Lucy Dacus,...Familiar Place,175.778,46.59,0.0277,Rock
14,Mykola Dmytrovych Leontovych,Carol of the Bells,85.267,46.72,0.8,Classical
15,Edward Elgar,"Serenade for String Orchestra, Op. 20: III. Allegretto",165.68,46.87,0.0898,Classical
16,Earl Sweatshirt,Uncle Al,52.627,47.09,0.585,Hip-Hop
17,Jack White,Abulia and Akrasia,88.32,47.59,0.417,Blues
18,Rozen,Lost in the Wind - Remastered Version,166.787,47.7,0.0527,Anime
19,Earl Sweatshirt,Wool,153.12,47.81,0.394,Rap
20,Earl Sweatshirt,Wool,153.12,47.81,0.394,Hip-Hop
21,Bill Charlap,"I Was So Young, And You Were So Beautiful",234.373,47.86,0.165,Jazz
22,Jonny Greenwood,Phantom Thread IV (feat. Daniel Pioro),177.613,47.9,0.417,Classical
23,Earl Sweatshirt,Red Water,104.427,47.92,0.777,Alternative
24,Earl Sweatshirt,Red Water,104.427,47.92,0.777,Hip-Hop
25,Yuki Hayashi,Lure,70.147,48.01,0.305,Anime
26,Andrea Bocelli,Caro gesu bambino,101.77,49.55,0.183,Classical
27,Antonio Vivaldi,"Bassoon Concerto in F Major, RV 488: II. Largo",173.094,49.79,0.146,Classical
28,Johann Sebastian Bach,"Unaccompanied Cello Suite No. 6 in D Major, BWV 1012: I. Prélude",284.96,49.93,0.587,Classical
29,Matthew Halsall,Cherry Blossom,441.459,50.06,0.143,Jazz
30,Kehlani,Bright,257.179,50.18,0.232,Rap
31,Oscar Peterson Trio,I Got It Bad And That Ain't Good,306.173,50.66,0.176,Jazz
32,Lamb,Wise Enough,286.827,50.86,0.284,Electronic
33,Lamb,Wise Enough,286.827,50.86,0.284,Jazz
34,Richard Wagner,Entry of the Gods into Valhalla,427.707,51.25,0.0384,Classical
35,Philip Glass,Tearing Herself Away,303.507,51.27,0.0368,Classical
36,Daughtry,Life After You,206.413,51.32,0.309,Alternative
37,GoldLink,Late Night,161.08,51.54,0.295,Alternative
38,GoldLink,Late Night,161.08,51.54,0.295,Hip-Hop
39,Flughand,Snug,89.006,52,0.278,Jazz
40,Carl Maria von Weber,"Symphony No. 2 in C Major, J. 51: IV. Finale: Scherzo presto",134.32,52.06,0.544,Classical
41,Ola Gjeilo,Dawn,166,52.08,0.0461,Classical
42,Big Jay McNeely,There Is Something on Your Mind,202.467,52.14,0.506,Jazz
43,Big Jay McNeely,There Is Something on Your Mind,202.467,52.14,0.506,Blues
44,Nicole Henry,Moon River,310.827,52.47,0.235,Jazz
45,Roy Hargrove,Speak Low,316.867,52.67,0.205,Jazz
46,Paul Robeson,Old Man River,146.012,52.67,0.365,Classical
47,Eric Whitacre,Deep Field - Complete Version,1390.613,52.75,0.0274,Classical
48,Claude Debussy,"Suite bergamasque, L. 75: 1. Prélude",244,52.78,0.0565,Classical
49,Giovanni Battista Sammartini,III. Menuetto,181.347,53.19,0.347,Classical
50,John Luther Adams,The Wind in High Places: II. Maclaren Summit,295.64,53.72,0.174,Classical
51,Antonín Dvořák,"Symphony No. 9 in E Minor, From The New World: Symphony No. 9 ""New World Symphony"": I. Adagio - Allegro molto",723.6,53.81,0.0835,Classical
52,Pyotr Ilyich Tchaikovsky,"The Nutcracker, Op.71 : No. 8 In the Christmas Tree",238.16,53.89,0.0554,Classical
53,Jimi Hendrix,Red House,230.36,53.91,0.483,Rock
54,Jóhann Jóhannsson,Theme,203,53.98,0.0655,Classical
55,Red Garland,(I'm Afraid) The Masquerade Is Over,522.933,54.06,0.134,Jazz
56,The Neighbourhood,Single,262.32,54.13,0.34,Alternative
57,André Previn,Servants' Chorus* - Voice,84.333,54.16,0.468,Classical
58,Ernest John Moeran,Symphony in G Minor: II. Lento,788.4,54.18,0.0322,Classical
59,Miles Davis,Flamenco Sketches - Studio Sequence 2,69.72,54.31,0.084,Jazz
60,Frédéric Chopin,"Chopin: Piano Concerto No. 2 in F Minor, Op. 21: I. Maestoso",823.56,54.37,0.0767,Classical
61,Rozen,A Moment's Peace,126.24,54.52,0.306,Anime
62,Felix Mendelssohn,"Mendelssohn: 6 Lieder ohne Worte, Op. 19b: No. 1 in E Major",202.84,54.69,0.0768,Classical
63,Hiatus Kaiyote,Creations Part One,49.36,54.9,0.221,Jazz
64,Liquid Stranger,Jello Stream,288.468,54.95,0.0735,Electronic
65,Jóhann Jóhannsson,Melancholia,278.467,55.05,0.0616,Classical
66,Christian Scott aTunde Adjuah,Phases,255.179,55.06,0.231,Jazz
67,Kacey Musgraves,Mother,78.187,55.51,0.482,Country
68,Frédéric Chopin,"Waltz No. 10 in B Minor, Op. 69 No. 2",302,55.72,0.0447,Classical
69,Rozen,Sheik's Devotion - Remastered Version,146.48,55.91,0.219,Anime
70,Jason Isbell and the 400 Unit,Decoration Day - Live,384.533,55.96,0.343,Country
71,Jimi Hendrix,Exp,115.28,56.05,0.198,Blues
72,Johann Sebastian Bach,"Cello Suite No. 3 in C Major, BWV 1009: II. Allemande",215.213,56.21,0.558,Classical
73,Eminem,Steve Berman,53.573,56.38,0.807,Hip-Hop
74,Stevie Ray Vaughan,Riviera Paradise,530.467,56.42,0.197,Blues
75,Lights & Motion,Glaciers,176.373,56.45,0.0409,Rock
76,Nobuo Uematsu,"Dark World (From ""Final Fantasy VI"")",343,56.56,0.0399,Anime
77,Claude Debussy,3. Clair de lune,306,56.64,0.0393,Classical
78,Frédéric Chopin,"Piano Sonata No. 2 in B-Flat Minor, Op. 35 ""Funeral March"": III. Marche funèbre. Lento",400.653,56.65,0.0738,Classical
79,Howard Shore,Orthanc,66.413,56.68,0.0379,Classical
